Date,Open,High,Low,Close,Adj Close,Volume,index
3/8/2016,30.83,30.879999,30.379999,30.559999,26.788607,19104900,1
3/9/2016,30.83,31.040001,30.67,30.870001,27.060354,14707800,2
3/10/2016,31.139999,31.4,30.379999,31.25,27.393454,29584800,3
3/11/2016,31.67,31.790001,31.530001,31.76,27.840517,22811200,4
3/14/2016,31.66,31.690001,31.299999,31.43,27.551243,17438600,5
3/15/2016,31.34,31.65,31.059999,31.65,27.744091,16927700,6
3/16/2016,31.49,31.799999,31.17,31.690001,27.779156,26298400,7
3/17/2016,31.76,32.169998,31.700001,31.98,28.033373,22865300,8
3/18/2016,32.16,32.689999,32.060001,32.68,28.646982,49934200,9
3/21/2016,32.23,32.419998,31.950001,32.34,28.348938,21760900,10
3/22/2016,32.16,32.459999,31.950001,32.32,28.331408,22200400,11
3/23/2016,32.470001,32.470001,31.98,32,28.050903,18765300,12
3/24/2016,31.870001,31.950001,31.700001,31.879999,27.945705,14211900,13
3/28/2016,31.870001,32,31.620001,31.9,27.963236,11433000,14
3/29/2016,31.93,32.439999,31.73,32.380001,28.384007,15313200,15
3/30/2016,32.450001,32.75,32.290001,32.709999,28.673273,16598000,16
3/31/2016,32.529999,32.66,32.32,32.349998,28.357704,17880000,17
4/1/2016,32.27,32.470001,32.099998,32.450001,28.445368,18049700,18
4/4/2016,32.200001,32.380001,31.74,32,28.050903,21581600,19
4/5/2016,31.889999,32.119999,31.719999,31.9,27.963236,20080000,20
4/6/2016,31.969999,32.23,31.77,32.080002,28.121031,15740600,21
4/7/2016,31.889999,31.9,31.35,31.549999,27.656435,23738200,22
4/8/2016,31.76,32.02,31.48,31.629999,27.726564,17031900,23
4/11/2016,31.9,32.34,31.66,31.67,27.761623,19707700,24
4/12/2016,31.879999,31.940001,31.379999,31.860001,27.928177,16774200,25
4/13/2016,31.969999,32.18,31.950001,32.130001,28.164856,19968100,26
4/14/2016,31.780001,31.889999,31.549999,31.799999,27.875582,21620900,27
4/15/2016,31.790001,31.889999,31.379999,31.459999,27.577538,28782800,28
4/18/2016,31.43,31.719999,31.379999,31.65,27.744091,21566600,29
4/19/2016,31.700001,31.809999,31.4,31.6,27.700268,33619300,30
4/20/2016,31.32,32.259998,31.25,32,28.050903,57629800,31
4/21/2016,31.940001,32.060001,31.809999,31.969999,28.024605,28431400,32
4/22/2016,31.74,31.860001,31.219999,31.639999,27.735325,29625600,33
4/25/2016,31.360001,31.5,31.200001,31.389999,27.516182,19315700,34
4/26/2016,31.389999,31.700001,31.17,31.4,27.524944,20976400,35
4/27/2016,31.25,31.799999,31.190001,31.75,27.831755,20006200,36
4/28/2016,31.450001,31.709999,31.030001,31.110001,27.270731,25146400,37
4/29/2016,30.860001,30.870001,30.1,30.280001,26.543163,36443700,38
5/2/2016,30.450001,30.690001,30.360001,30.610001,26.832439,21086600,39
5/3/2016,30.41,30.559999,30.09,30.360001,26.613291,27111100,40
5/4/2016,30.17,30.209999,29.700001,29.85,26.392252,23278800,41
5/5/2016,29.870001,30.02,29.75,29.9,26.436455,23393300,42
5/6/2016,29.610001,30.110001,29.52,30.040001,26.56024,19632200,43
5/9/2016,30.08,30.17,29.76,29.799999,26.348036,16888300,44
5/10/2016,30,30.18,29.82,30.139999,26.648653,17013800,45
5/11/2016,30.16,30.25,29.969999,30.059999,26.577923,15754200,46
5/12/2016,30.110001,30.24,29.57,29.76,26.312679,20826700,47
5/13/2016,29.860001,30.200001,29.84,29.91,26.445299,19999600,48
5/16/2016,29.9,30.559999,29.879999,30.389999,26.869699,21826100,49
5/17/2016,30.57,30.57,29.860001,29.98,26.507195,25709900,50
5/18/2016,30.030001,30.25,29.780001,29.99,26.516031,22469900,51
5/19/2016,29.77,29.93,29.5,29.629999,26.197731,21740900,52
5/20/2016,29.73,30.379999,29.700001,30.15,26.657499,22777300,53
5/23/2016,30.23,30.48,30.129999,30.23,26.728228,20881900,54
5/24/2016,30.5,31.120001,30.450001,31.059999,27.462086,23699200,55
5/25/2016,31.200001,31.57,31.15,31.389999,27.753862,18359600,56
5/26/2016,31.49,31.629999,31.4,31.49,27.842279,12692300,57
5/27/2016,31.6,31.65,31.450001,31.57,27.913006,13341300,58
5/31/2016,31.51,31.65,31.309999,31.59,27.930693,23040200,59
6/1/2016,31.620001,31.719999,31.469999,31.66,27.992582,17753500,60
6/2/2016,31.559999,31.76,31.450001,31.76,28.080999,14140100,61
6/3/2016,31.74,31.74,31.4,31.620001,27.957218,15777500,62
6/6/2016,31.639999,31.82,31.58,31.68,28.010262,15139600,63
6/7/2016,31.75,32.02,31.700001,31.879999,28.187098,19339100,64
6/8/2016,31.799999,32,31.790001,31.889999,28.195938,12732100,65
6/9/2016,31.68,32,31.68,31.940001,28.24015,11276800,66
6/10/2016,31.700001,32.240002,31.65,32.040001,28.328566,35749100,67
