Date,Open,High,Low,Close,Adj Close,Volume,index
9/8/2020,49.259998,49.900002,48.849998,48.91,48.263863,39752700,0
9/9/2020,49.529999,49.970001,49.040001,49.619999,48.964481,33437300,1
9/10/2020,50,50.09,48.709999,48.959999,48.313202,32649100,2
9/11/2020,49.259998,50.049999,48.950001,49.279999,48.628975,29333600,3
9/14/2020,48.849998,49.720001,48.849998,49.41,48.757259,27212500,4
9/15/2020,49.790001,50.599998,49.73,50,49.339462,27598300,5
9/16/2020,50.509998,51.029999,50.169998,50.369999,49.704575,26531400,6
9/17/2020,49.369999,50.490002,49.299999,50.32,49.655235,26959900,7
9/18/2020,50.330002,50.5,49.040001,49.889999,49.230915,50123500,8
9/21/2020,49.389999,49.75,48.830002,49.720001,49.063164,27377100,9
9/22/2020,49.889999,50.209999,49.470001,49.950001,49.290127,22290900,10
9/23/2020,49.830002,50.150002,48.66,48.82,48.175053,30078800,11
9/24/2020,48.529999,49.639999,48.419998,49.16,48.510559,29343400,12
9/25/2020,48.959999,50.279999,48.75,49.939999,49.280258,26633400,13
9/28/2020,50.509998,51.459999,50.16,51.43,50.750572,29652200,14
9/29/2020,51.310001,51.740002,50.950001,51.189999,50.513744,19558200,15
9/30/2020,51.240002,52.380001,51.150002,51.779999,51.095947,27711300,16
10/1/2020,52.400002,52.720001,51.990002,52.240002,51.549873,22127600,17
10/2/2020,51.5,51.98,50.990002,51.009998,50.336117,25811800,18
10/5/2020,51.299999,51.810001,51.27,51.689999,51.007137,20883200,19
10/6/2020,51.709999,52.700001,51.23,51.369999,50.691364,25642800,20
10/7/2020,51.849998,52.900002,51.790001,52.669998,51.97419,21978700,21
10/8/2020,52.91,53.580002,52.669998,53.369999,52.664944,22369500,22
10/9/2020,53.549999,53.849998,52.669998,52.82,52.122208,24343900,23
10/12/2020,53.549999,54.200001,53.209999,53.880001,53.168209,27303500,24
10/13/2020,54.27,54.290001,53.619999,53.830002,53.11887,20005800,25
10/14/2020,54.009998,54.400002,53.509998,53.549999,52.842564,21885100,26
10/15/2020,52.75,53.98,52.619999,53.849998,53.138599,18272900,27
10/16/2020,53.900002,54.700001,53.900002,54.16,53.444508,23414400,28
10/19/2020,54.470001,56.23,53.84,54.580002,53.858959,43537200,29
10/20/2020,54.599998,54.700001,53.27,53.43,52.724152,27224900,30
10/21/2020,53.139999,54.07,52.82,53.5,52.793228,21866000,31
10/22/2020,53.119999,54.220001,53.07,53.900002,53.187946,41522700,32
10/23/2020,48.349998,48.669998,47.66,48.200001,47.563244,97322500,33
10/26/2020,47.849998,47.860001,46.25,46.720001,46.102798,54161300,34
10/27/2020,45.98,46.41,45.360001,45.639999,45.03706,50130500,35
10/28/2020,44.889999,45.290001,44.200001,44.25,43.665428,45066000,36
10/29/2020,44.240002,44.470001,43.919998,44.110001,43.527279,36796800,37
10/30/2020,44.099998,44.799999,43.610001,44.279999,43.69503,46781300,38
11/2/2020,44.959999,45.060001,44.240002,44.459999,43.87265,33856700,39
11/3/2020,44.73,45.459999,44.700001,44.849998,44.2575,34349500,40
11/4/2020,45.110001,46.150002,44.779999,45.700001,45.096272,34748200,41
11/5/2020,46.150002,46.380001,45.529999,45.68,45.4044,31103200,42
11/6/2020,45.540001,45.799999,44.900002,45.389999,45.116146,36233700,43
11/9/2020,46.639999,47.349998,45.540001,45.599998,45.324879,48481700,44
11/10/2020,45.400002,46.48,45.25,45.439999,45.165844,39224500,45
11/11/2020,45.900002,46.459999,45.860001,46.349998,46.070354,31496900,46
11/12/2020,46.130001,46.189999,44.549999,44.950001,44.678802,42881300,47
11/13/2020,44.990002,45.580002,44.970001,45.459999,45.185726,30884700,48
11/16/2020,46.040001,46.75,45.790001,46.189999,45.91132,36306300,49
11/17/2020,45.75,46.119999,45.41,45.529999,45.255302,31118000,50
11/18/2020,45.549999,45.689999,45.040001,45.060001,44.788139,32817900,51
11/19/2020,44.919998,45.669998,44.700001,45.619999,45.344761,29469100,52
11/20/2020,45.66,45.880001,45.330002,45.389999,45.116146,24199300,53
11/23/2020,45.48,46.209999,45.450001,46.060001,45.782108,35489600,54
11/24/2020,46.290001,47.299999,46.009998,47.009998,46.726372,33901200,55
11/25/2020,47.029999,47.18,46.57,47.049999,46.766132,28126900,56
11/27/2020,47.360001,48.099998,47.360001,47.450001,47.163719,15921400,57
11/30/2020,47.419998,48.5,47.27,48.349998,48.058289,46332700,58
12/1/2020,48.75,50.23,48.709999,49.560001,49.26099,57778200,59
12/2/2020,49.220001,50.060001,49.18,49.900002,49.598938,33753500,60
12/3/2020,49.919998,51.110001,49.779999,50.990002,50.682365,50261200,61
12/4/2020,51.060001,52.650002,51,51.990002,51.676331,39767700,62
12/7/2020,51,51.290001,49.560001,50.200001,49.897129,51040300,63
12/8/2020,49.830002,50.720001,49.810001,50.689999,50.384171,28956500,64
12/9/2020,50.279999,50.84,49.73,50.07,49.767914,34068400,65
12/10/2020,49.66,50.720001,49.59,50.259998,49.956764,33706000,66
12/11/2020,50.139999,50.139999,49.119999,49.73,49.429962,29398800,67
12/14/2020,49.82,51.34,49.740002,50.470001,50.165501,33436400,68
12/15/2020,50.98,51.009998,50.209999,50.669998,50.364292,25473000,69
12/16/2020,50.709999,51.459999,50.68,51.119999,50.811577,28351000,70
12/17/2020,51.150002,51.32,50.220001,50.650002,50.344414,26399000,71
12/18/2020,50.57,50.68,47.110001,47.459999,47.17366,119298400,72
12/21/2020,46.32,46.450001,45.240002,46.360001,46.080296,53775700,73
12/22/2020,46.25,46.34,45.77,46.169998,45.891441,32171200,74
12/23/2020,46.169998,47.029999,46.07,46.57,46.289028,22564200,75
12/24/2020,46.599998,47.09,46.34,47.07,46.786011,11865600,76
12/28/2020,47.189999,47.639999,46.860001,47.07,46.786011,21269200,77
12/29/2020,47.220001,50.669998,46.490002,49.389999,49.092014,84531400,78
12/30/2020,49.110001,49.189999,48.560001,48.75,48.455875,37385400,79
12/31/2020,48.75,50.189999,48.720001,49.82,49.519421,28576800,80
1/4/2021,49.889999,51.389999,49.400002,49.669998,49.370323,46102500,81
1/5/2021,49.450001,50.830002,49.330002,50.610001,50.304657,24866600,82
1/6/2021,50.439999,52.150002,50.200001,51.099998,50.791698,36809600,83
1/7/2021,51.490002,52.689999,51.299999,52.189999,51.875122,32092300,84
1/8/2021,52.450001,52.529999,51.27,51.650002,51.338383,34625400,85
1/11/2021,51.290001,52.240002,51.25,51.540001,51.229046,32933300,86
1/12/2021,51.900002,53.849998,51.560001,53.240002,52.918789,39883900,87
1/13/2021,59.5,60.25,56.900002,56.950001,56.606403,124070700,88
1/14/2021,58.450001,60.139999,57.84,59.25,58.892529,74680900,89
1/15/2021,58.849998,59.650002,57.5,57.580002,57.232605,50265400,90
1/19/2021,57.939999,58.34,57.099998,57.990002,57.640129,35647100,91
1/20/2021,58.240002,59.220001,58.09,58.669998,58.316025,28701300,92
1/21/2021,59.040001,63.950001,58.220001,62.459999,62.08316,87156500,93
1/22/2021,58.849998,59.619999,56.650002,56.66,56.318153,85729300,94
1/25/2021,56.380001,56.5,54.060001,55.439999,55.105511,61968500,95
1/26/2021,55.279999,56.200001,54.849998,55.209999,54.8769,31485900,96
1/27/2021,54.610001,54.849998,53.299999,53.59,53.266674,49722900,97
1/28/2021,54.790001,57.400002,54.700001,56.07,55.731712,49202600,98
1/29/2021,55.98,57.16,55.360001,55.509998,55.175091,37238000,99
2/1/2021,55.950001,57.389999,55.709999,56.689999,56.347969,26926600,100
2/2/2021,57.189999,58.279999,56.880001,58,57.65007,23580900,101
2/3/2021,57.889999,58.330002,57.380001,57.68,57.332001,21893200,102
2/4/2021,57.610001,58.880001,57.189999,58.790001,58.790001,29853800,103
2/5/2021,59,59.080002,58.119999,58.18,58.18,23422400,104
2/8/2021,58.380001,59.220001,57.950001,59.16,59.16,34358300,105
2/9/2021,58.77,59.310001,57.939999,58.779999,58.779999,28754100,106
2/10/2021,59.299999,59.419998,58.119999,58.860001,58.860001,16325100,107
2/11/2021,59.099998,60.990002,58.860001,60.66,60.66,27500100,108
2/12/2021,60.599998,62.509998,60.43,61.810001,61.810001,26197900,109
2/16/2021,62,62.869999,61.700001,62.470001,62.470001,26326300,110
2/17/2021,61.490002,62.189999,61.209999,61.849998,61.849998,21055400,111
2/18/2021,60.650002,61.98,60.639999,61.610001,61.610001,17846100,112
2/19/2021,61.91,63.259998,61.849998,63.009998,63.009998,28290100,113
2/22/2021,61.880001,62.700001,60.66,60.709999,60.709999,32288200,114
2/23/2021,60.48,61.5,59.169998,61.119999,61.119999,27374600,115
2/24/2021,60.529999,63.279999,60.380001,63.189999,63.189999,24669900,116
2/25/2021,62.41,63.540001,60.130001,60.400002,60.400002,36394000,117
2/26/2021,60.889999,61.689999,59.68,60.779999,60.779999,38210400,118
3/1/2021,61.720001,63.080002,61.650002,62.880001,62.880001,28495400,119
3/2/2021,62.799999,63.139999,61.110001,61.240002,61.240002,23298800,120
3/3/2021,60.639999,61.52,59.700001,59.900002,59.900002,28705200,121
3/4/2021,59.830002,60.240002,57.91,58.330002,58.330002,40044900,122
3/5/2021,59.259998,61.18,58.509998,60.740002,60.740002,39501700,123
